scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason
292,Zaynab bint Thabit ibn Qays b. Shammas ( زينب بنت ثابت بن قيس بن شماس الأنصارية ( رضي الله عنها,Comp.(RA),Thabit bin Qays b. Shammas [239] / Jamila bint 'Abdullah ibn Ubayy [286],NA,"Muhammad bin Thabit ibn Qays b. Shammas [291] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295]",NA,(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
293,'Abdullah bin Thabit ibn Qays b. Shammas ( عبد الله بن ثابت بن قيس بن شماس الأنصاري ( رضي الله عنه,Comp.(RA),Thabit bin Qays b. Shammas [239] / Jamila bint 'Abdullah ibn Ubayy [286],NA,"Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295]",NA,(Medinah),Medinah,63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child]",NA,NA,1,Medinah,[],NA,NA,63,683,"Medinah, al-Harrah",NA
294,'Abdur Rahman bin Thabit ibn Qays ( عبد الرحمن بن ثابت بن قيس الأنصاري ( رضي الله عنه,Comp.(RA),Thabit bin Qays b. Shammas [239] / Jamila bint 'Abdullah ibn Ubayy [286],NA,"Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , Yahya bin Thabit ibn Qays [295]",NA,(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
295,Yahya bin Thabit ibn Qays ( يحيى بن ثابت بن قيس بن شماس الأنصاري ( رضي الله عنه,Comp.(RA),Thabit bin Qays b. Shammas [239] / Jamila bint 'Abdullah ibn Ubayy [286],NA,"Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294]",NA,(Medinah),Medinah,63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child]",NA,NA,1,Medinah,[],NA,NA,63,683,"Medinah, al-Harrah",NA
296,Qurayba bint Zayd ( قريبة بنت زيد بن عبد ربه الأنصارية ( رضي الله عنها,Comp.(RA),Zayd b. Tha'laba (b. 'Abdu Rabbihi),NA,"'Abdullah bin Zayd [47] , Hurayth bin Zayd [283]",NA,(Medinah),Medinah,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
297,Tamim bin Ya'ar bin Qays ( تميم بن يعار بن قيس بن عدي ( رضي الله عنه,Comp.(RA),NA,A women from B. 'Amr b Waqsh,NA,"Rabi'i, Jamila",(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , B.Jadara [B.Jadara] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
298,Yazid/Zayd bin al-Muzayyan bin Qays ( يزيد بن المزين بن قيس بن عدي ( رضي الله عنه,Comp.(RA),al-Muzayyan bin Qays,NA,NA,"'Amr, Ramla",(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
299,'Abdullah bin 'Umair ( عبد الله بن عمير ( رضي الله عنه,Comp.(RA),NA,NA,NA,NA,(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
300,'Abdullah bin 'Urfuta bin 'Adi ( عبد الله بن عرفطة بن عدي بن أمية ( رضي الله عنه,Comp.(RA),NA,NA,NA,NA,(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
301,'Abdullah bin 'Abdullah ibn Ubayy ( عبد الله بن عبد الله بن أبي بن سلول ( رضي الله عنه,Comp.(RA),As-Samit b. Qays b. Asram / Khawla bint al-Mundhir of Mailk b. al-Najjar,NA,"Jamila bint 'Abdullah ibn Ubayy [286] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307]","'Ubada, Haliba, Khaythma, Umama",(Medina),Medina,12 AH/634 CE (Hijaz)[ Martyred(Yamamah) ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq]",NA,NA,1,Medina,[],NA,NA,12,634,"Hijaz, Yamamah",Martyred
302,Mulayka bint 'Abdullah ibn Ubayy ( مليكة بنت عبد الله بن أبي بن سلول ( رضي الله عنها,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik / Umm Khalid bint 'Amir of B. Sa'ida,Hilal bin Umayya of Aws,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
303,Ramla bint 'Abdullah ibn Ubayy ( رملة بنت عبد الله بن أبي بن سلول ( رضي الله عنها,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik / Lubna bint 'Ubada b. Nadla of B.Qauqal,'Isma bin Zayd,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
304,Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy ( أم سعد بنت عبد الله بن أبي بن سلول ( رضي الله عنها,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik / Lubna bint 'Ubada b. Nadla of B.Qauqal,Jubayr bin Thabit bin Dahhak of B.al-Hubla,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
305,'Ubada bin 'Abdullah ibn Ubayy ( عبادة بن عبد الله بن أبي بن سلول الخزرجي ( رضي الله عنه,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik,NA,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
306,Muhammad bin 'Abdullah ibn Ubayy ( محمد بن عبد الله بن أبي بن سلول الخزرجي ( رضي الله عنه,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik,NA,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Ma'mar bin 'Abdullah ibn Ubayy [307]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
307,Ma'mar bin 'Abdullah ibn Ubayy ( معمر بن عبد الله بن أبي بن سلول الخزرجي ( رضي الله عنه,Comp.(RA),'Abdullah ibn Ubayy (b. Salul) b. Malik,NA,"Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306]",NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
308,'Abdullah bin 'Abs ( عبد الله بن عبس ( رضي الله عنه,Comp.(RA),NA,NA,NA,NA,(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , Ally B.al-Harith B.al-Khazraj [Ally%20B.al-Harith%20B.al-Khazraj] , Badr [Badr]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
309,Umm Malik bint Ubayy bin Malik ( أم مالك بنت أبي بن مالك الأنصارية ( رضي الله عنها,Comp.(RA),Ubayy (b. Salul) b. Malik / Salma bint Matruf of Aws,Rafi' bin Malik bin al-'Ajlan [321],'Abdullah ibn Ubayy (b. Salul) b. Malik,"Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324]",(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
310,Zayd bin Wadi'a b. 'Amr ( زيد بن وديعة بن عمرو بن قيس ( رضي الله عنه,Comp.(RA),Wadi'a b. 'Amr b. Qays / Umm Zayd bint al-Harith of B.al-Hubla,Zaynab bint Sahl bin al-Sa'b [311],NA,"Sa'd, Umama, Umm Khultum",(Medina),"Medina, Iraq",(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
311,Zaynab bint Sahl bin al-Sa'b ( زينب بنت سهل بن الصعب بن قيس ( رضي الله عنها,Comp.(RA),Sahl bin al-Sa'b b. Qays,Zayd bin Wadi'a b. 'Amr [310],NA,"Sa'd, Umama, Umm Khultum",(Medina),"Medina, Iraq",(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
312,Rifa'a bin 'Amr bin Zayd ( رفاعة بن عمرو بن زيد بن عمرو ( رضي الله عنه,Comp.(RA),'Amr bin Zayd b. 'Amr b. b. Tha'laba / Umm Rifa'a bint Qays nin Malik al-Hubla,NA,NA,NA,(Medina),Medina,"3 AH/625 CE (Hijaz, Uhud)[ Martyred(Uhud) ]","Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medina,[],NA,NA,3,625,"Hijaz, Uhud, Uhud",Martyred
313,Ma'bad bin 'Abbad b. Qushayr ( أبو حميضة/معبد بن عباد بن قشير بن العدم ( رضي الله عنه,Comp.(RA),'Amr bin Zayd b. 'Amr b. b. Tha'laba,NA,NA,NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
314,Mu'adha bint 'Abdullah bin 'Amr ( معاذة بنت عبد الله بن عمرو ( رضي الله عنها,Comp.(RA),'Abdullah b. 'Amr b. Bazeen(Murra),NA,NA,NA,(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
315,Aws bin Khawli ( أوس بن خولى بن عبد الله بن الحارث ( رضي الله عنه,Comp.(RA),Khawli b. 'Abdullah b. al-Harith / Jamila bint Ubayy bin Malik of B.al-Hubla,NA,Khawla bint Khawli [316],Fushum bint Aws bin Khawli [317],(Medina),Medina,~35 AH/655 CE (Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq]",NA,NA,1,Medina,[],NA,NA,35,655,Medina,Natural
316,Khawla bint Khawli ( خولة بنت خولى بن عبد الله الأنصارية ( رضي الله عنها,Comp.(RA),Khawli b. 'Abdullah b. al-Harith / Jamila bint Ubayy bin Malik of B.al-Hubla,NA,Aws bin Khawli [315],NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
317,Fushum bint Aws bin Khawli ( فسحم بنت أوس بن خولي ( رضي الله عنها,Comp.(RA),Aws bin Khawli [315],'Itban ibn Murra,NA,NA,(Medina),Medina,(Medina)[ Natural ],"Muhammad (saw) [1] ,",NA,"Recitation/Quran, Narrator","Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm]",NA,NA,1,Medina,[],NA,NA,NA,NA,Medina,Natural
318,'Abdullah bin Rabi' bin Qays ( عبد الله بن الربيع بن قيس بن عمرو ( رضي الله عنه,Comp.(RA),Rabi' b. Qays b. 'Amir / Fatima bint 'Amr b. 'Atiya of B. Mazin,A women from B. Tai',Na'ila bint Rabi' bin Qays [319],"Abdur-Rahman, Sa'd",(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
319,Na'ila bint Rabi' bin Qays ( نائلة بنت الربيع بن قيس بن عامر ( رضي الله عنها,Comp.(RA),/ Fatima bint 'Amr b. 'Atiya of B. Mazin,Aws bin Khalid bin Qurt [1230],'Abdullah bin Rabi' bin Qays [318],NA,(Medinah),Medina,(Madinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Madinah,Natural
320,Abu Zayd al-Ansari ( أبو زيد الأنصاري ( رضي الله عنه,Comp.(RA),Zayd b. Qays b. Zayd,NA,NA,Bashir,(Medina),"Medina, Kufa",~16 AH (Kufa)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Uhud [Uhud]",NA,NA,1,Medina,[],NA,NA,16,NA,Kufa,Natural
321,Rafi' bin Malik bin al-'Ajlan ( رافع بن مالك بن العجلان ( رضي الله عنه,Comp.(RA) [1st Generation],Malik bin al-'Ajlan b. 'Amr / Ma'uwiya bint al-'Ajlan of B. 'Auf,Umm Malik bint Ubayy bin Malik [309],NA,"Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324]",(Medinah),Medinah,3 AH/625 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , Mus'ab ibn 'Umair [12]",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Aqaba 1 [Aqaba%201] , Aqaba 2 [Aqaba%202] , Aqaba Chief [Aqaba%20Chief] , Uhud [Uhud]",NA,NA,"1, 12",Medinah,[],NA,NA,3,625,Medinah,Natural
322,Malik bin Rafi' bin Malik ( مالك بن رافع بن مالك بن العجلان ( رضي الله عنه,Comp.(RA),Rafi' bin Malik bin al-'Ajlan [321] / Umm Malik bint Ubayy bin Malik [309],NA,"Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324]",NA,(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
323,Rifa'a bin Rafi' bin Malik bin al-'Ajlan ( رفاعة بن رافع بن مالك بن العجلان ( رضي الله عنه,Comp.(RA) [1st Generation],Rafi' bin Malik bin al-'Ajlan [321] / Umm Malik bint Ubayy bin Malik [309],"Umm 'Abdur Rahman, Umm Walad, Salma bint Mu'adh, bint al-Fakah","Malik bin Rafi' bin Malik [322] , Khallad bin Rafi' bin Malik [324]","'Abduar Rahman, 'Ubaid bin Rifa'a bin Rafi' bin Malik [19828] , Mu'adh bin Rifa'a bin Rafi' bin Malik [11554] , 'Ubaidullah, al-Nu'man, Ramla, Buthayna, Umm Sa'd, Umm Sa'd(younger), Kulthum",(Medinah),Medinah,~42 AH (Medinah)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Ubada bin As-Samit [40]","'Ubaid bin Rifa'a bin Rafi' bin Malik [19828] , Mu'adh bin Rifa'a bin Rafi' bin Malik [11554] , Yahya bin Khallad bin Rafi' bin Malik [325] , 'Ali bin Yahya bin Khlad [11710]",Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Badr [Badr] , Uhud [Uhud]",NA,"19828, 11554, 325, 11710","1, 2, 40",Medinah,[],NA,NA,42,NA,Medinah,Natural
324,Khallad bin Rafi' bin Malik ( خلاد بن رافع بن مالك بن العجلان ( رضي الله عنه,Comp.(RA),Rafi' bin Malik bin al-'Ajlan [321] / Umm Malik bint Ubayy bin Malik [309],Umm Rafi' bint 'Uthman ibn Khalida [326],"Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323]",Yahya bin Khallad bin Rafi' bin Malik [325],(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Badr [Badr] , Uhud [Uhud]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
325,Yahya bin Khallad bin Rafi' bin Malik ( يحيى بن خلاد بن رافع بن مالك ( رضي الله عنه,Comp.(RA) [1st Generation],Khallad bin Rafi' bin Malik [324] / Umm Rafi' bint 'Uthman ibn Khalida [326],NA,NA,"'Amir, 'Ali bin Yahya bin Khlad [11710]",~9 AH (Medinah),Medinah,~129 AH (Medinah)[ Natural ],"Muhammad (saw) [1] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , 'Umar ibn al-Khattab [3]","'Ali bin Yahya bin Khlad [11710] , Yahya bin 'Ali bin Yahya [12582]",Narrator [ خ  4  -  صحابة ],"Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Child [Child]",NA,"11710, 12582","1, 323, 3",Medinah,['9 AH'],9,NA,129,NA,Medinah,Natural
326,Umm Rafi' bint 'Uthman ibn Khalida ( أم رافع بنت عثمان الزرقية ( رضي الله عنها,Comp.(RA),'Uthman ibn Khalida b. Mukhallad / Umm Jamil bint Qutba bin 'Amir [1096],Khallad bin Rafi' bin Malik [324],"Umama bint 'Uthman ibn Khalida [327] , Sa'd bin 'Uthman bin Khalada [1503] , 'Uqba bin 'Uthman bin Khalada [1504]",Yahya bin Khallad bin Rafi' bin Malik [325],(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
327,Umama bint 'Uthman ibn Khalida ( أمامة بنت عثمان بن خالدة الأنصارية الزرق ( رضي الله عنها,Comp.(RA),'Uthman ibn Khalida b. Mukhallad / Umm Jamil bint Qutba bin 'Amir [1096],Thabit bin Tha'laba bin Zayd [1009],"Umm Rafi' bint 'Uthman ibn Khalida [326] , Sa'd bin 'Uthman bin Khalada [1503] , 'Uqba bin 'Uthman bin Khalada [1504]","'Abdullah, al-Harith, Umm Iyas bint Thabit bin al-Jidha'(*) [1191]",(Medinah),Medinah,(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq]",NA,NA,1,Medinah,[],NA,NA,NA,NA,Medinah,Natural
328,Al Aswad bin Nawfal ( الأسود بن نوفل بن خويلد ( رضي الله عنه,Comp.(RA),Nawfal bin Khuwailid bin Asad / Umm Laith bint Abi Laith,NA,NA,NA,(Makkah),"Makkah, Abyssinia, Medina",(Medinah)[ Natural ],"Muhammad (saw) [1] ,",NA,Recitation/Quran,"Quraish [Quraish] , B.Asad [B.Asad] , Abyssinia 2 [Abyssinia%202] , Early Muslim [Early%20Muslim]",NA,NA,1,Makkah,[],NA,NA,NA,NA,Medinah,Natural
